scope,city,province,rate,freeAbove,excluded,active
city,Khana Road PO,,0,,yes,yes
city,Khanewal Kutchery PO,,0,,yes,yes
city,Khanewal NPO,,0,,yes,yes
city,Kharian Cantt NPO,,0,,yes,yes
city,Kharian Cantt North PO,,0,,yes,yes
city,Khayaban-E-Sir Syed PO,,0,,yes,yes
city,Khewra Salt Mines PO,,0,,yes,yes
city,Khokharki PO,,0,,yes,yes
city,Khuzdar NPO,,0,,yes,yes
city,Kohat City NPO,,0,,yes,yes
city,Kohat City PO,,0,,yes,yes
city,Kohat GPO NPO,,0,,yes,yes
city,Kohat Kutchery PO,,0,,yes,yes
city,Kohi Noor Mill NPO,,0,,yes,yes
city,Kohing PO,,0,,yes,yes
city,Kolian Hameed PO,,0,,yes,yes
city,"Korangi Block-03, NPO",,0,,yes,yes
city,"Korangi Block-03, PO",,0,,yes,yes
city,"Korangi Block-05, PO",,0,,yes,yes
city,"Korangi Block-05,NPO",,0,,yes,yes
city,"Korangi Block-06, PO",,0,,yes,yes
city,Korangi GPO/ NPO,,0,,yes,yes
city,Kot Adil SO,,0,,yes,yes
city,Kot Lakhpat PO,,0,,yes,yes
city,Kotri NPO,,0,,yes,yes
city,Kpar PO,,0,,yes,yes
city,Kutchery PO,,0,,yes,yes
city,L-Marwat Main Larry Adda SO,,0,,yes,yes
city,L.C.C.H Society NPO,,0,,yes,yes
city,L.C.C.H Society PO,,0,,yes,yes
city,Lahore Airport LSG,,0,,yes,yes
city,Lahore Airport NPO(Batch-I),,0,,yes,yes
city,Lahore Airport NPO(Batch-Ii),,0,,yes,yes
city,Lahore GPO NPO,,0,,yes,yes
city,Lahore High Court TSO,,0,,yes,yes
city,Lahore Kutchery PO,,0,,yes,yes
city,Lakshmi Chowk PO,,0,,yes,yes
city,Lal Kurti Bazar NPO,,0,,yes,yes
city,Lal Kurti Bazar PO,,0,,yes,yes
city,Landhi Colony NPO,,0,,yes,yes
city,Landhi Gul Ahmed PO,,0,,yes,yes
city,Latifabad GPO NPO,,0,,yes,yes
city,Latifabad-11 TSO,,0,,yes,yes
city,Latifabad-5 TSO,,0,,yes,yes
city,Lea Quarter PO,,0,,yes,yes
city,Lhr High Court Ml Bench SO,,0,,yes,yes
city,Liaqat Colony TSO,,0,,yes,yes
city,Liaquatabad NPO,,0,,yes,yes
city,Lodhran NPO,,0,,yes,yes
city,Log Area PO,,0,,yes,yes
city,Loralai Cantt PO,,0,,yes,yes
city,Loralai NPO,,0,,yes,yes
city,M Block Model Town PO,,0,,yes,yes
city,M. F Okara PO,,0,,yes,yes
city,Madina Chok Post Office,,0,,yes,yes
city,Madina TSO,,0,,yes,yes
city,Malikpura PO,,0,,yes,yes
city,Malir Cantt NPO,,0,,yes,yes
city,Malir Cantt North NPO,,0,,yes,yes
city,Malir Cantt North PO,,0,,yes,yes
city,Malir Colony NPO,,0,,yes,yes
city,Malir Extension PO,,0,,yes,yes
city,Mandi Bahauddin NPO,,0,,yes,yes
city,Manora NPO,,0,,yes,yes
city,Mansehra City NPO,,0,,yes,yes
city,Mansoora NPO,,0,,yes,yes
city,Mansoorabad SO,,0,,yes,yes
city,Maqam-E-Hayat SO,,0,,yes,yes
city,Mardan Cantt PO,,0,,yes,yes
city,Mardan City PO,,0,,yes,yes
city,Mardan NPO,,0,,yes,yes
city,Margazar Colony PO,,0,,yes,yes
city,Masjid Khalid PO,,0,,yes,yes
city,Matiari NPO,,0,,yes,yes
city,Matli NPO,,0,,yes,yes
city,Meezan Market PO,,0,,yes,yes
city,Mehar NPO,,0,,yes,yes
city,Mehboob Booti (Cpol 1388),,0,,yes,yes
city,Mehmoodabad NPO,,0,,yes,yes
city,Mehran Markaz TSO,,0,,yes,yes
city,Metrovill-Iii PO,,0,,yes,yes
city,Mian Channu NPO,,0,,yes,yes
city,Mianwali City PO,,0,,yes,yes
city,Michan Khel Adda L.Marwat SO,,0,,yes,yes
city,Millat Colony NPO,,0,,yes,yes
city,Minara Road PO,,0,,yes,yes
city,Mingora City PO,,0,,yes,yes
city,Mirza Pur PO,,0,,yes,yes
city,Misri Shah PO,,0,,yes,yes
city,Mitha Tiwana Bazar PO,,0,,yes,yes
city,Mochi Gate PO,,0,,yes,yes
city,Model Colony NPO,,0,,yes,yes
city,"Model Town ""A"" TSO",,0,,yes,yes
city,Moh: Sadowan PO,,0,,yes,yes
city,Mohabiti Killa SO,,0,,yes,yes
city,Mohalla Krishan Nagar PO,,0,,yes,yes
city,Mohallah Islamabad PO,,0,,yes,yes
city,Mominabad (KP-2024) PO,,0,,yes,yes
city,Moti Masjid Mianwali PO,,0,,yes,yes
city,Mozang PO,,0,,yes,yes
city,Mubarik Colony PO,,0,,yes,yes
city,Mughli PO,,0,,yes,yes
city,Multan Cantt LSG,,0,,yes,yes
city,Multan City NPO,,0,,yes,yes
city,Multan City PO,,0,,yes,yes
city,Multan GPO NPO,,0,,yes,yes
city,Multan Hussain Agahi PO,,0,,yes,yes
city,Multan Kutchery PO,,0,,yes,yes
city,Multan Road NPO,,0,,yes,yes
city,Multan Road PO,,0,,yes,yes
city,Multan Sddar Bazar PO,,0,,yes,yes
city,Murray College TSO,,0,,yes,yes
city,Murree NPO,,0,,yes,yes
city,Muslim Road PO,,0,,yes,yes
city,Muzaffarabad PO,,0,,yes,yes
city,Muzaffargarh City NPO,,0,,yes,yes
city,Muzaffargarh City PO,,0,,yes,yes
city,Muzaffargarh GPO NPO,,0,,yes,yes
city,N.Medical College PO,,0,,yes,yes
city,N.U Campus NPO,,0,,yes,yes
city,NCREI PO,,0,,yes,yes
city,NICVD NPO,,0,,yes,yes
city,NICVD PO,,0,,yes,yes
city,Nabi Pura PO,,0,,yes,yes
city,Nal PO,,0,,yes,yes
